# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = cryo_er_model
# start_datetime = 2023-11-21 10:45:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = ././output//Dmat.json
# init = 2 (Default)
# random
#   seed = 46051
# output
#   file = /var/folders/_8/h5rr6k3s2995tzxt8b9sqfgh0000gq/T/tmplgwt001z/cryo-erk_atmu8o/cryo-er-20231121114549.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 32 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=cryo-er.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,weights.6,weights.7,weights.8,weights.9,weights.10,log_weights.1,log_weights.2,log_weights.3,log_weights.4,log_weights.5,log_weights.6,log_weights.7,log_weights.8,log_weights.9,log_weights.10
# Adaptation terminated
# Step size = 0.0353577
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1
-4.5031e+07,0.992616,0.0353577,7,127,0,4.5031e+07,0.000532819,0.358959,0.000197312,0.000536572,0.282035,0.000421128,0.000223835,0.355175,0.000675874,0.00124378,-7.53733,-1.02455,-8.53073,-7.53031,-1.26573,-7.77257,-8.4046,-1.03514,-7.2995,-6.6896
-4.5031e+07,0.977574,0.0353577,7,127,0,4.5031e+07,0.000740985,0.362966,0.000422506,0.00210204,0.272187,3.92571e-05,0.00225057,0.357311,0.00057586,0.00140512,-7.20753,-1.01345,-7.76931,-6.16485,-1.30127,-10.1454,-6.09657,-1.02915,-7.45965,-6.56763
-4.5031e+07,0.998834,0.0353577,6,63,0,4.5031e+07,0.000253933,0.355823,0.000259637,0.00352558,0.270146,8.01953e-05,0.000893517,0.361796,0.00488559,0.00233616,-8.27844,-1.03332,-8.25623,-5.64771,-1.30879,-9.43105,-7.02034,-1.01668,-5.32147,-6.05925
-4.5031e+07,0.925875,0.0353577,6,63,0,4.5031e+07,0.00132907,0.353792,0.000105493,0.000367041,0.2799,0.000110715,0.00150116,0.362237,0.000514503,0.000143157,-6.62327,-1.03905,-9.15686,-7.91004,-1.27332,-9.10855,-6.50152,-1.01546,-7.57231,-8.85157
-4.5031e+07,0.82838,0.0353577,6,127,0,4.5031e+07,0.00239933,0.352956,5.2154e-05,0.000880085,0.282033,7.57106e-05,0.00112463,0.358854,0.000684153,0.000940197,-6.03257,-1.04141,-9.86131,-7.03549,-1.26573,-9.48859,-6.7903,-1.02484,-7.28733,-6.96942
-4.5031e+07,0.846436,0.0353577,7,127,0,4.5031e+07,0.000458159,0.348845,0.000262574,0.00167732,0.284807,0.000439628,0.000649542,0.360942,9.05262e-05,0.00182858,-7.68829,-1.05313,-8.24498,-6.39056,-1.25594,-7.72958,-7.33924,-1.01904,-9.30987,-6.30421
