# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = cryo_er_model
# start_datetime = 2023-11-22 14:00:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = ././output//Dmat.json
# init = 2 (Default)
# random
#   seed = 60518
# output
#   file = /var/folders/_8/h5rr6k3s2995tzxt8b9sqfgh0000gq/T/tmph0litvrk/cryo-erquzigtdd/cryo-er-20231122150021.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 32 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=cryo-er.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,weights.6,weights.7,weights.8,weights.9,weights.10,log_weights.1,log_weights.2,log_weights.3,log_weights.4,log_weights.5,log_weights.6,log_weights.7,log_weights.8,log_weights.9,log_weights.10
# Adaptation terminated
# Step size = 0.0326531
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1
-4.56917e+07,0.99208,0.0326531,7,127,0,4.56917e+07,0.0010532,0.362077,0.0024896,0.000611733,0.270075,0.000483416,0.00122762,0.360615,0.000692556,0.00067502,-6.85592,-1.0159,-5.99563,-7.39921,-1.30905,-7.63463,-6.70268,-1.01994,-7.27512,-7.30077
-4.56917e+07,0.948703,0.0326531,7,127,0,4.56917e+07,0.000829334,0.363348,0.00149983,7.41591e-05,0.274174,0.000133325,0.000720177,0.358236,0.000553932,0.000431665,-7.09489,-1.0124,-6.5024,-9.5093,-1.29399,-8.92272,-7.23601,-1.02656,-7.49847,-7.74786
-4.56917e+07,0.958765,0.0326531,6,127,0,4.56917e+07,0.000485064,0.363594,0.000413897,2.75558e-05,0.274328,0.000342533,0.000857974,0.357785,0.00107442,0.00109202,-7.63123,-1.01172,-7.78989,-10.4993,-1.29343,-7.97914,-7.06094,-1.02782,-6.83597,-6.81972
-4.56917e+07,0.607987,0.0326531,5,35,0,4.56917e+07,0.000317851,0.365776,0.000426086,1.3457e-05,0.280408,0.000158643,0.00173323,0.348968,0.00108055,0.00111826,-8.05393,-1.00573,-7.76087,-11.216,-1.27151,-8.74886,-6.35777,-1.05278,-6.83028,-6.79598
-4.56917e+07,0.970849,0.0326531,7,127,0,4.56917e+07,0.000407274,0.365043,0.00170717,5.73942e-05,0.264792,0.00038109,0.000263394,0.364565,0.00170062,0.00108258,-7.80602,-1.00774,-6.37292,-9.76557,-1.32881,-7.87247,-8.24186,-1.00905,-6.37677,-6.82841
-4.56917e+07,0.999988,0.0326531,7,255,0,4.56917e+07,0.00170136,0.366185,0.000600241,0.000206831,0.274386,0.000239694,0.00168946,0.353678,0.000111329,0.00120265,-6.37633,-1.00462,-7.41818,-8.48361,-1.29322,-8.33615,-6.38335,-1.03937,-9.10302,-6.72323
-4.56917e+07,0.996094,0.0326531,7,127,0,4.56917e+07,0.000542724,0.364558,0.000915788,0.00126245,0.264842,0.000519817,0.000269533,0.36438,0.00216144,0.000547191,-7.51891,-1.00907,-6.99573,-6.6747,-1.32862,-7.56203,-8.21882,-1.00956,-6.13698,-7.51071
-4.56917e+07,0.986972,0.0326531,7,127,0,4.56917e+07,0.00126076,0.357831,0.000769042,0.000956484,0.275738,0.000170088,0.00237352,0.358644,0.000264556,0.00199257,-6.67604,-1.02769,-7.17037,-6.95225,-1.28831,-8.6792,-6.04338,-1.02542,-8.23746,-6.21833
